SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1643109622.278336, 1.416320, -5.412991, -7.652916, , , , , , 
1643109622.298444, 1.522263, -5.635053, -7.876325, , , , , , 
1643109622.318320, 1.258003, -5.672612, -8.003816, , , , , , 
1643109622.337933, 0.950199, -5.622932, -7.987506, , , , , , 
1643109622.358307, 0.954089, -5.347300, -8.290223, , , , , , 
1643109622.378281, 1.400907, -5.263652, -9.355193, , , , , , 
1643109622.398434, 0.845452, -5.487211, -9.155427, , , , , , 
1643109622.418422, 0.030526, -5.853225, -9.082254, , , , , , 
1643109622.438325, -0.389207, -5.828684, -9.211092, , , , , , 
1643109622.458406, -0.235979, -5.770774, -8.705916, , , , , , 
1643109622.478361, -0.020949, -6.199636, -8.149114, , , , , , 
1643109622.498317, -0.414496, -6.307674, -7.427562, , , , , , 
1643109622.517650, -0.603040, -6.453421, -7.211036, , , , , , 
1643109622.538323, -0.735170, -6.750003, -7.459285, , , , , , 
1643109622.558391, -0.523133, -7.697508, -6.335207, , , , , , 
1643109622.578403, -1.831265, -8.000075, -5.452196, , , , , , 
1643109622.598308, -3.528305, -11.049540, -6.676381, , , , , , 
1643109622.618306, -3.740940, -10.466103, -5.172673, , , , , , 
1643109622.638320, -2.241721, -7.067534, -5.308993, , , , , , 
1643109622.658292, -0.148141, -7.413795, -6.025308, , , , , , 
1643109622.678366, 0.446070, -8.474726, -5.815217, , , , , , 
1643109622.698310, 0.265607, -8.201338, -4.766257, , , , , , 
1643109622.718383, 0.700005, -8.239046, -3.836858, , , , , , 
1643109622.738354, 0.882712, -8.735544, -3.454833, , , , , , 
1643109622.758381, 0.603040, -8.661473, -3.387496, , , , , , 
1643109622.778351, 1.152359, -8.924237, -2.430564, , , , , , 
1643109622.798311, 0.782754, -8.584260, -1.159093, , , , , , 
1643109622.818343, 0.656311, -8.571691, 0.775272, , , , , , 
1643109622.837830, 0.864456, -9.248951, 3.339013, , , , , , 
1643109622.858367, 0.243011, -9.643545, 6.118233, , , , , , 
1643109622.878323, 0.138415, -9.786000, 6.145467, , , , , , 
1643109622.898317, 0.148291, -9.594913, 3.207931, , , , , , 
1643109622.918320, 0.054767, -9.469516, -0.868946, , , , , , 
1643109622.937459, -0.536301, -9.134328, -3.224241, , , , , , 
1643109622.958360, -0.680701, -9.329905, -2.635417, , , , , , 
1643109622.978358, -0.140061, -9.575011, -0.215329, , , , , , 
1643109622.998327, -0.499041, -9.818322, 1.689558, , , , , , 
1643109623.017819, -0.638504, -10.375273, 2.526631, , , , , , 
1643109623.038357, -0.474351, -10.032304, 2.526930, , , , , , 
1643109623.058356, -0.312743, -10.027365, 1.813458, , , , , , 
1643109623.078388, -0.927753, -9.862315, 1.729511, , , , , , 
1643109623.098381, -0.789338, -9.598654, 1.611896, , , , , , 
1643109623.118358, -1.222090, -10.243293, 1.253963, , , , , , 
1643109623.138388, -2.022951, -9.530419, 0.832733, , , , , , 
1643109623.158362, -0.094272, -10.472687, 1.972673, , , , , , 
1643109623.178385, -0.095020, -9.955689, 1.967884, , , , , , 
1643109623.198458, 0.217723, -9.478644, 1.088614, , , , , , 
1643109623.218379, -1.944541, -9.004742, 1.688361, , , , , , 
1643109623.238319, -1.619977, -8.488492, 1.795951, , , , , , 
1643109623.258382, -0.655413, -9.875034, 1.581221, , , , , , 
1643109623.278379, 0.515651, -10.116549, 1.547253, , , , , , 
1643109623.298253, -0.393846, -9.418041, 1.291821, , , , , , 
1643109623.318385, -1.420210, -9.054571, 0.322319, , , , , , 
1643109623.338341, -1.348235, -9.163956, 1.334019, , , , , , 
1643109623.358383, -0.880917, -9.545532, 1.789666, , , , , , 
1643109623.378326, -0.786495, -9.823409, 1.373673, , , , , , 
1643109623.398312, -0.571167, -9.950901, 1.297358, , , , , , 
1643109623.418277, -0.661548, -9.792584, 2.012626, , , , , , 
1643109623.438294, -1.107767, -9.502736, 2.234538, , , , , , 
1643109623.458326, -1.142483, -9.640552, 2.033276, , , , , , 
1643109623.478402, -1.287781, -9.762956, 1.929278, , , , , , 
1643109623.498393, -1.366491, -10.149320, 1.722179, , , , , , 
1643109623.518327, -1.369483, -10.342353, 1.831265, , , , , , 
1643109623.538322, -1.360056, -10.350283, 1.938406, , , , , , 
1643109623.558347, -0.811485, -10.458621, 1.827524, , , , , , 
1643109623.578319, -1.043573, -10.442011, 1.726219, , , , , , 
1643109623.598322, -1.280599, -9.961076, 1.807024, , , , , , 
1643109623.618372, -0.572364, -12.419921, 1.490839, , , , , , 
1643109623.638303, -0.246453, -11.711088, 1.744176, , , , , , 
1643109623.658371, 0.009726, -11.201272, 0.311396, , , , , , 
1643109623.678305, -0.127791, -11.058369, 0.189740, , , , , , 
1643109623.698320, -0.212036, -10.805331, 0.117017, , , , , , 
1643109623.718390, -0.060154, -10.200496, 0.224157, , , , , , 
1643109623.738307, 0.160112, -9.747394, -0.287903, , , , , , 
1643109623.758392, 0.896030, -9.656713, -0.531213, , , , , , 
1643109623.778392, 1.612495, -9.430012, -0.948403, , , , , , 
1643109623.798360, 2.071433, -9.334094, -0.941520, , , , , , 
1643109623.818382, 1.969829, -9.585635, -0.911293, , , , , , 
1643109623.838321, 1.333421, -10.035745, -0.766743, , , , , , 
1643109623.858363, 1.017087, -10.390087, -0.359878, , , , , , 
1643109623.878383, 0.727688, -10.262745, -0.093374, , , , , , 
1643109623.898362, 0.790236, -10.234314, 0.087538, , , , , , 
1643109623.917908, 0.621445, -10.015993, 0.246004, , , , , , 
1643109623.938136, 0.751779, -9.526229, 0.324564, , , , , , 
1643109623.958365, 0.773177, -9.011176, 0.492607, , , , , , 
1643109623.978384, 1.026364, -8.573636, 0.295684, , , , , , 
1643109623.998391, 1.201291, -8.495675, 0.387561, , , , , , 
1643109624.018409, 1.326388, -8.641721, 0.617854, , , , , , 
1643109624.038326, 1.135151, -8.873809, 0.746542, , , , , , 
1643109624.057697, 0.900220, -9.211541, 0.724845, , , , , , 
1643109624.078401, 1.028908, -9.431658, 0.846650, , , , , , 
1643109624.098368, 1.229871, -9.192837, 0.805350, , , , , , 
1643109624.118325, 1.210269, -8.801684, 0.741305, , , , , , 
1643109624.138426, 0.934786, -8.777293, 0.850690, , , , , , 
1643109624.158328, 1.041478, -9.248951, 1.017386, , , , , , 
1643109624.178390, 1.285237, -9.505579, 1.036689, , , , , , 
1643109624.198364, 1.178097, -9.544186, 0.941520, , , , , , 
1643109624.218324, 0.989703, -9.607632, 1.012598, , , , , , 
1643109624.238364, 0.801309, -9.451560, 1.315464, , , , , , 
1643109624.258393, 0.670975, -9.604789, 1.339257, , , , , , 
1643109624.278468, 0.492308, -9.970054, 1.340753, , , , , , 
1643109624.298386, 0.470311, -10.346991, 1.485004, , , , , , 
1643109624.318367, 0.425120, -10.558280, 1.475277, , , , , , 
1643109624.338324, 0.519392, -11.036821, 2.026243, , , , , , 
1643109624.358367, 0.352397, -11.049091, 1.972523, , , , , , 
1643109624.378107, 0.382623, -10.803685, 2.003648, , , , , , 
1643109624.398399, 0.388758, -10.622175, 2.018462, , , , , , 
1643109624.418333, -0.068085, -11.558757, 1.983596, , , , , , 
1643109624.438371, -0.013018, -12.306346, 1.975815, , , , , , 
1643109624.458367, 0.105943, -11.767202, 1.063175, , , , , , 
1643109624.478326, -0.053870, -10.811616, 0.672920, , , , , , 
1643109624.498371, -0.638055, -9.643246, 0.232686, , , , , , 
1643109624.518331, -1.005116, -9.023447, 0.305859, , , , , , 
1643109624.538364, -1.252916, -8.724321, -0.033668, , , , , , 
1643109624.558362, -1.353622, -9.162011, -0.236577, , , , , , 
1643109624.578433, -1.420809, -10.003274, -0.036212, , , , , , 
1643109624.598366, -1.404947, -10.615292, 0.171934, , , , , , 
1643109624.618329, -1.209521, -10.844088, 0.002544, , , , , , 
1643109624.638415, -0.894983, -10.925490, 0.332046, , , , , , 
1643109624.658395, -0.708833, -10.319308, 0.720056, , , , , , 
1643109624.678370, -0.724096, -9.559748, 0.813879, , , , , , 
1643109624.698331, -0.871340, -8.774899, 0.909797, , , , , , 
1643109624.718329, -0.968754, -8.248174, 0.903362, , , , , , 
1643109624.738368, -0.838569, -8.111106, 0.789937, , , , , , 
1643109624.758390, -0.684442, -8.270021, 0.858770, , , , , , 
1643109624.778370, -0.627580, -8.395567, 1.034295, , , , , , 
1643109624.798319, -0.686986, -8.551191, 1.083077, , , , , , 
1643109624.818370, -0.781408, -8.837447, 1.132008, , , , , , 
1643109624.838368, -0.887950, -8.866178, 1.239897, , , , , , 
1643109624.858392, -0.853533, -8.850915, 1.325939, , , , , , 
1643109624.878371, -0.844555, -8.830714, 1.459864, , , , , , 
1643109624.898354, -0.978929, -8.908076, 1.417816, , , , , , 
1643109624.918390, -1.004817, -8.998607, 1.464803, , , , , , 
1643109624.938332, -0.859369, -9.100211, 1.203984, , , , , , 
1643109624.958307, -0.723797, -9.292346, 1.303942, , , , , , 
1643109624.978366, -0.457143, -9.781661, 1.865083, , , , , , 
1643109624.998376, -0.408361, -10.144831, 1.921496, , , , , , 
1643109625.018394, -0.280571, -10.488549, 2.101062, , , , , , 
1643109625.038372, -0.110133, -10.997765, 2.058415, , , , , , 
1643109625.058395, -0.380379, -10.977265, 2.412906, , , , , , 
1643109625.078375, -0.660201, -10.760440, 2.628534, , , , , , 
1643109625.098370, -1.098340, -10.709264, 2.484732, , , , , , 
1643109625.118332, -0.980575, -11.555614, 1.892616, , , , , , 
1643109625.138423, 0.234632, -13.139528, 2.880524, , , , , , 
1643109625.158336, 0.850091, -12.171223, 1.061230, , , , , , 
1643109625.178403, 0.756418, -10.831668, 0.519542, , , , , , 
1643109625.198377, 0.436643, -9.741408, 0.006883, , , , , , 
1643109625.218396, 0.774824, -9.431359, 0.680701, , , , , , 
1643109625.238371, 1.407192, -9.018209, 0.257826, , , , , , 
1643109625.258332, 2.037765, -9.537003, 0.362273, , , , , , 
1643109625.278359, 2.336591, -9.972897, -0.016909, , , , , , 
1643109625.298370, 2.280627, -10.320655, 0.032471, , , , , , 
1643109625.318398, 1.719486, -10.834660, 0.384419, , , , , , 
1643109625.338334, 0.922217, -10.843788, 0.607080, , , , , , 
1643109625.358399, 0.456544, -10.249577, 0.944961, , , , , , 
1643109625.378330, 0.189441, -9.615413, 0.673220, , , , , , 
1643109625.398375, 0.332495, -9.048436, 0.824054, , , , , , 
1643109625.418279, 0.599897, -8.492233, 0.811934, , , , , , 
1643109625.438341, 0.551415, -8.111106, 1.035941, , , , , , 
1643109625.458379, 0.484227, -8.092102, 1.168969, , , , , , 
1643109625.478334, 0.533757, -8.257751, 1.065869, , , , , , 
1643109625.498334, 0.767641, -8.495076, 1.138892, , , , , , 
