SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1643109669.794184, 0.479439, -7.916727, -5.519084, , , , , , 
1643109669.814105, 0.462829, -8.043320, -5.637597, , , , , , 
1643109669.834142, 0.032172, -8.096292, -6.129306, , , , , , 
1643109669.854139, -0.340276, -8.165275, -5.544223, , , , , , 
1643109669.874108, -0.495151, -8.124873, -5.902755, , , , , , 
1643109669.893175, -0.348506, -8.269573, -7.359177, , , , , , 
1643109669.914196, 0.360477, -8.480711, -7.583634, , , , , , 
1643109669.934206, 0.309750, -8.140286, -6.529886, , , , , , 
1643109669.954191, 0.006135, -6.795343, -6.537817, , , , , , 
1643109669.974143, 0.330699, -6.411672, -7.087435, , , , , , 
1643109669.994214, 0.505326, -7.350947, -7.452402, , , , , , 
1643109670.014201, -0.687734, -7.344663, -6.625055, , , , , , 
1643109670.034227, -1.040430, -6.867917, -6.237644, , , , , , 
1643109670.053902, -0.414945, -7.111078, -5.824344, , , , , , 
1643109670.074149, -0.109086, -7.597849, -5.307197, , , , , , 
1643109670.094214, 0.049680, -8.278401, -5.595100, , , , , , 
1643109670.114192, -0.507421, -8.418462, -5.519084, , , , , , 
1643109670.134198, -1.641824, -8.769961, -5.590311, , , , , , 
1643109670.154152, -1.474828, -9.364022, -4.685153, , , , , , 
1643109670.174230, -1.634940, -9.313295, -4.596718, , , , , , 
1643109670.194087, -2.359186, -9.608679, -5.087679, , , , , , 
1643109670.214067, -2.058265, -9.532813, -3.354127, , , , , , 
1643109670.233958, -0.859219, -9.058013, -2.119018, , , , , , 
1643109670.254123, -0.626982, -9.142858, -2.134431, , , , , , 
1643109670.274165, -0.017059, -8.997260, -0.299724, , , , , , 
1643109670.294111, 0.480037, -8.887576, -0.091429, , , , , , 
1643109670.314150, -0.065242, -8.957307, 0.494552, , , , , , 
1643109670.334150, 0.450559, -9.718513, 3.151966, , , , , , 
1643109670.354119, -0.241515, -10.047716, 4.359542, , , , , , 
1643109670.374162, -0.058359, -10.279804, 2.994697, , , , , , 
1643109670.394114, 0.294936, -9.740361, 1.613842, , , , , , 
1643109670.414025, 0.523881, -9.520393, 0.878522, , , , , , 
1643109670.434136, 0.129736, -9.451710, 0.266205, , , , , , 
1643109670.454141, -0.100108, -9.744999, 0.676362, , , , , , 
1643109670.474026, -0.551564, -9.656115, 1.004667, , , , , , 
1643109670.493570, -0.183306, -9.419388, 0.452354, , , , , , 
1643109670.514157, -1.558027, -8.585906, -2.395848, , , , , , 
1643109670.534135, -0.450559, -8.910321, 3.946841, , , , , , 
1643109670.554125, 0.176572, -10.337265, 7.088782, , , , , , 
1643109670.574160, -1.232715, -9.926959, 1.597531, , , , , , 
1643109670.594143, -0.919373, -9.852140, 1.544410, , , , , , 
1643109670.614084, -1.047613, -9.803358, 1.590348, , , , , , 
1643109670.634215, -0.687884, -9.711630, 1.629554, , , , , , 
1643109670.654125, -0.681749, -9.393949, 1.291971, , , , , , 
1643109670.674171, -0.728735, -10.064027, 1.837550, , , , , , 
1643109670.693344, -0.887501, -10.254964, 3.175011, , , , , , 
1643109670.714152, -0.806547, -10.174908, 2.142661, , , , , , 
1643109670.734154, -0.279373, -9.462184, 2.778022, , , , , , 
1643109670.754119, -0.327706, -9.092579, 2.022203, , , , , , 
1643109670.774162, -1.102979, -9.796774, 1.856853, , , , , , 
1643109670.794116, -1.222240, -9.711780, 2.399738, , , , , , 
1643109670.814143, -1.021726, -9.359383, 1.895160, , , , , , 
1643109670.834135, -0.673369, -9.123405, 1.824082, , , , , , 
1643109670.854136, -1.271770, -9.339781, 1.791611, , , , , , 
1643109670.873172, -1.022025, -9.529970, 1.938705, , , , , , 
1643109670.894146, -0.792331, -9.312696, 2.215983, , , , , , 
1643109670.914117, -0.698059, -9.250746, 2.175132, , , , , , 
1643109670.934145, -0.654365, -9.384073, 2.066645, , , , , , 
1643109670.954119, -1.199944, -9.464279, 1.870620, , , , , , 
1643109670.974120, -1.300052, -9.515306, 2.004396, , , , , , 
1643109670.994211, -1.038186, -9.539547, 2.051232, , , , , , 
1643109671.014155, -0.869245, -9.389610, 1.807772, , , , , , 
1643109671.034219, -1.004817, -9.514108, 1.656788, , , , , , 
1643109671.053783, -1.024120, -9.534310, 1.809418, , , , , , 
1643109671.074100, -1.111358, -9.377340, 1.845929, , , , , , 
1643109671.094225, -1.460912, -9.507375, 1.974917, , , , , , 
1643109671.114197, -1.236306, -9.851990, 1.953818, , , , , , 
1643109671.134273, -1.056890, -10.201993, 1.941698, , , , , , 
1643109671.154115, -0.791284, -10.224737, 1.951574, , , , , , 
1643109671.174193, -0.885256, -10.118944, 2.139818, , , , , , 
1643109671.193502, -1.253065, -10.279804, 2.136376, , , , , , 
1643109671.214290, -1.769165, -10.252869, 1.898901, , , , , , 
1643109671.234206, -0.837073, -10.199299, 2.380435, , , , , , 
1643109671.254168, -1.361253, -10.177751, 2.008286, , , , , , 
1643109671.273284, -1.211915, -10.918158, 1.782483, , , , , , 
1643109671.294187, -0.856825, -11.734731, 1.854160, , , , , , 
1643109671.314165, -0.452504, -11.556811, 1.239299, , , , , , 
1643109671.334215, -0.258574, -10.985495, 1.090409, , , , , , 
1643109671.354078, -0.237625, -10.191219, 0.457592, , , , , , 
1643109671.373635, -0.129437, -9.932645, -0.034117, , , , , , 
1643109671.394188, 0.271742, -9.849446, -0.051475, , , , , , 
1643109671.413592, 0.893336, -9.670779, -0.451906, , , , , , 
1643109671.434200, 1.475876, -9.606136, -0.829142, , , , , , 
1643109671.454165, 1.387440, -9.853187, -0.657208, , , , , , 
1643109671.474166, 1.016937, -10.152313, -0.452354, , , , , , 
1643109671.493379, 0.919972, -10.783335, -0.230143, , , , , , 
1643109671.513753, 0.521786, -10.709563, 0.163105, , , , , , 
1643109671.534199, 0.254534, -10.338612, 0.101903, , , , , , 
1643109671.554149, 0.280720, -9.845556, 0.208296, , , , , , 
1643109671.573636, 0.380379, -9.292794, 0.095319, , , , , , 
1643109671.594169, 0.734272, -9.179818, 0.412102, , , , , , 
1643109671.614165, 0.400131, -9.054422, 0.544681, , , , , , 
1643109671.634233, 0.356886, -8.867524, 0.606481, , , , , , 
1643109671.654157, 0.594809, -8.855853, 0.675464, , , , , , 
1643109671.674206, 0.779013, -8.832659, 0.798017, , , , , , 
1643109671.694121, 0.859967, -8.990527, 0.956484, , , , , , 
1643109671.713603, 0.582539, -9.100211, 1.175703, , , , , , 
1643109671.734198, 0.428712, -8.951770, 1.282394, , , , , , 
1643109671.754168, 0.520440, -8.806921, 1.373823, , , , , , 
1643109671.774167, 0.642843, -8.755595, 1.358410, , , , , , 
1643109671.793529, 0.458190, -8.784775, 1.257554, , , , , , 
1643109671.814191, 0.503680, -8.829367, 1.426196, , , , , , 
1643109671.834167, 0.476446, -9.058761, 1.426046, , , , , , 
1643109671.854171, 0.449212, -9.340828, 1.389984, , , , , , 
1643109671.873472, 0.273986, -9.637410, 1.657536, , , , , , 
1643109671.894166, 0.342670, -9.797372, 1.676540, , , , , , 
1643109671.914165, 0.457741, -10.232668, 1.657985, , , , , , 
1643109671.934200, 0.109535, -10.624270, 1.864784, , , , , , 
1643109671.954185, 0.246752, -10.783484, 2.117073, , , , , , 
1643109671.974181, 0.406266, -10.872818, 2.020257, , , , , , 
1643109671.994167, 0.286556, -10.609755, 2.040758, , , , , , 
1643109672.013721, -0.124947, -10.245238, 2.144008, , , , , , 
1643109672.034180, -0.253336, -10.285640, 2.038663, , , , , , 
1643109672.053749, -0.515053, -11.535413, 2.481590, , , , , , 
1643109672.074115, -0.443825, -11.986571, 1.871069, , , , , , 
1643109672.093503, -0.036063, -11.632977, 1.249923, , , , , , 
1643109672.114134, -0.315286, -10.428843, 1.073351, , , , , , 
1643109672.134214, -0.981623, -9.741558, 0.767192, , , , , , 
1643109672.154171, -1.313070, -9.463531, 0.626383, , , , , , 
1643109672.174170, -1.621024, -9.633819, 0.138415, , , , , , 
1643109672.194240, -1.486799, -10.046669, 0.422427, , , , , , 
1643109672.214192, -1.603217, -10.393229, 0.416292, , , , , , 
1643109672.234201, -1.142782, -10.703578, 0.245256, , , , , , 
1643109672.254189, -0.654066, -10.918008, 0.527921, , , , , , 
1643109672.274156, -0.576105, -10.331579, 0.707187, , , , , , 
1643109672.294170, -0.771232, -9.703101, 0.955436, , , , , , 
1643109672.313790, -0.849343, -9.169044, 1.097442, , , , , , 
1643109672.334247, -0.757017, -8.557924, 0.973393, , , , , , 
1643109672.354170, -0.595857, -8.116493, 0.898424, , , , , , 
1643109672.374187, -0.372298, -7.936629, 0.964115, , , , , , 
1643109672.393513, -0.472705, -8.022222, 0.963666, , , , , , 
1643109672.414205, -0.475848, -8.225579, 1.290924, , , , , , 
1643109672.434201, -0.615459, -8.526949, 1.509544, , , , , , 
1643109672.454168, -0.599897, -8.824728, 1.612495, , , , , , 
1643109672.473502, -0.580893, -8.767417, 1.537526, , , , , , 
1643109672.494168, -0.761506, -8.692748, 1.718738, , , , , , 
1643109672.514190, -0.959327, -8.875605, 1.735347, , , , , , 
1643109672.534201, -0.934337, -9.000253, 1.777395, , , , , , 
1643109672.554207, -0.807594, -9.137471, 1.690905, , , , , , 
1643109672.574117, -0.809091, -9.347113, 1.774852, , , , , , 
1643109672.594172, -0.558597, -9.793781, 1.808071, , , , , , 
1643109672.613712, -0.489165, -10.103232, 2.033725, , , , , , 
1643109672.634202, -0.377685, -10.577733, 2.237082, , , , , , 
1643109672.654168, -0.370652, -10.817602, 2.306364, , , , , , 
1643109672.674187, -0.408361, -10.740089, 2.491915, , , , , , 
1643109672.693522, -0.455497, -10.456676, 2.682254, , , , , , 
1643109672.713301, -0.608875, -10.223840, 2.907908, , , , , , 
1643109672.734221, -0.677409, -10.904541, 2.154482, , , , , , 
1643109672.754179, 0.066738, -12.776807, 3.028366, , , , , , 
1643109672.773412, 0.369904, -12.417377, 1.725022, , , , , , 
1643109672.794172, 0.384419, -11.087249, 0.957381, , , , , , 
1643109672.814171, 0.509067, -9.952846, 0.117316, , , , , , 
1643109672.834159, 0.741754, -9.488072, 0.472855, , , , , , 
1643109672.853444, 0.927604, -9.845406, 1.001674, , , , , , 
1643109672.874125, 1.314117, -10.072406, 0.374244, , , , , , 
1643109672.894179, 1.742680, -10.073155, 0.000898, , , , , , 
1643109672.914164, 1.795352, -10.345196, -0.008230, , , , , , 
1643109672.934225, 1.426495, -10.716447, 0.401927, , , , , , 
1643109672.954183, 0.889147, -10.733505, 0.744447, , , , , , 
1643109672.974110, 0.698808, -10.481815, 0.947356, , , , , , 
1643109672.994129, 0.661398, -9.786898, 1.103877, , , , , , 
1643109673.014112, 0.427215, -9.089886, 0.949451, , , , , , 
1643109673.034143, 0.393697, -8.798392, 1.099537, , , , , , 
1643109673.054116, 0.403423, -8.257302, 1.129614, , , , , , 
1643109673.074131, 0.480786, -7.818116, 1.076493, , , , , , 
1643109673.094122, 0.556802, -7.730728, 1.080234, , , , , , 
1643109673.114176, 0.656311, -7.837868, 1.165976, , , , , , 
