SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1643108925.141674, 0.545279, -6.594380, -7.946655, , , , , , 
1643108925.158303, 0.588525, -6.552481, -7.801057, , , , , , 
1643108925.175027, 0.557999, -6.638373, -7.649624, , , , , , 
1643108925.191690, 0.347907, -6.522105, -7.426814, , , , , , 
1643108925.208293, 0.363619, -6.656479, -7.237223, , , , , , 
1643108925.224948, 0.568773, -6.787262, -7.331494, , , , , , 
1643108925.241686, 0.409109, -6.747160, -7.595754, , , , , , 
1643108925.258319, 0.157119, -6.801478, -7.725789, , , , , , 
1643108925.274964, -0.107589, -7.089381, -7.846547, , , , , , 
1643108925.291467, -0.175525, -7.047781, -7.488913, , , , , , 
1643108925.308383, -0.655712, -6.934057, -7.161656, , , , , , 
1643108925.324939, -0.406266, -6.596325, -5.394286, , , , , , 
1643108925.341708, -0.136170, -6.574478, -5.169830, , , , , , 
1643108925.358323, 1.367837, -6.732345, -6.139930, , , , , , 
1643108925.374987, 2.214038, -6.753744, -8.188319, , , , , , 
1643108925.391690, 2.155230, -6.717382, -8.715343, , , , , , 
1643108925.408341, 2.240823, -6.310367, -8.235754, , , , , , 
1643108925.425064, 1.016638, -5.168034, -8.481908, , , , , , 
1643108925.441753, 0.514753, -5.060145, -8.232762, , , , , , 
1643108925.458449, -0.000599, -5.571158, -9.338434, , , , , , 
1643108925.475088, -0.128539, -5.901857, -8.547599, , , , , , 
1643108925.491697, -0.271592, -5.990143, -8.217499, , , , , , 
1643108925.508312, -0.487070, -5.718102, -6.570288, , , , , , 
1643108925.525014, -2.410063, -6.479308, -6.840234, , , , , , 
1643108925.541723, -2.348263, -6.695086, -7.274632, , , , , , 
1643108925.558356, -1.800739, -6.968174, -6.219687, , , , , , 
1643108925.575171, -1.396268, -7.362020, -7.345411, , , , , , 
1643108925.591693, -1.169418, -7.208792, -7.836671, , , , , , 
1643108925.608356, -1.357363, -7.712322, -7.796568, , , , , , 
1643108925.625062, -2.351405, -7.475296, -6.702119, , , , , , 
1643108925.641654, -2.691681, -8.031499, -5.991639, , , , , , 
1643108925.658353, -3.333028, -7.749881, -6.673687, , , , , , 
1643108925.674987, -3.291728, -7.092972, -5.846790, , , , , , 
1643108925.691753, -3.637690, -6.766164, -5.170278, , , , , , 
1643108925.708392, -2.356044, -7.577199, -2.366369, , , , , , 
1643108925.725051, -2.102857, -8.507047, 0.922516, , , , , , 
1643108925.741653, -2.107346, -9.231742, 1.525106, , , , , , 
1643108925.758315, -2.932747, -10.501866, 3.591003, , , , , , 
1643108925.774999, -2.379986, -11.522844, 5.112069, , , , , , 
1643108925.791260, -2.094328, -11.786954, 5.803694, , , , , , 
1643108925.808403, -1.785626, -12.366201, 5.661389, , , , , , 
1643108925.824986, -1.960702, -12.020838, 5.427356, , , , , , 
1643108925.841662, -2.033874, -11.951106, 5.475390, , , , , , 
1643108925.858329, -2.006940, -10.768969, 5.167735, , , , , , 
1643108925.875082, -2.083105, -9.734674, 4.002956, , , , , , 
1643108925.891721, -1.895310, -9.218125, 3.122338, , , , , , 
1643108925.908425, -2.095675, -8.235754, 1.211915, , , , , , 
1643108925.925023, -1.993921, -8.227674, -0.125845, , , , , , 
1643108925.941764, -2.787000, -7.990648, -0.919224, , , , , , 
1643108925.957787, -1.862390, -8.186973, -0.849343, , , , , , 
1643108925.974999, -1.104176, -8.391826, -0.007183, , , , , , 
1643108925.991686, 0.264110, -8.833108, 0.754922, , , , , , 
1643108926.008425, 0.623390, -8.992322, 0.715118, , , , , , 
1643108926.025003, 0.510713, -9.080758, 0.512658, , , , , , 
1643108926.041747, 0.306458, -9.099313, -0.324115, , , , , , 
1643108926.058324, 0.726341, -9.063400, -1.290774, , , , , , 
1643108926.075099, 0.773626, -8.793304, -0.645387, , , , , , 
1643108926.091366, 0.578349, -8.816498, 0.442179, , , , , , 
1643108926.108303, 1.173907, -8.483704, 0.550068, , , , , , 
1643108926.124989, 1.067215, -8.335114, 0.758663, , , , , , 
1643108926.141663, 0.703746, -8.689605, 1.417068, , , , , , 
1643108926.158433, 1.436521, -8.894160, 1.939154, , , , , , 
1643108926.174982, 1.710059, -9.138817, 1.911620, , , , , , 
1643108926.191632, 1.307234, -9.637111, 1.100734, , , , , , 
1643108926.208351, 0.470910, -10.204237, 0.067636, , , , , , 
1643108926.224975, 0.105195, -10.389488, -0.567575, , , , , , 
1643108926.241685, -0.400281, -10.671855, -0.954987, , , , , , 
1643108926.258336, -0.802357, -10.498574, -0.339378, , , , , , 
1643108926.275021, -0.917279, -10.408792, -0.131980, , , , , , 
1643108926.291671, -0.354641, -9.961675, 1.160290, , , , , , 
1643108926.308360, 0.970998, -9.998485, 2.510470, , , , , , 
1643108926.325100, 1.376067, -9.941623, 2.466028, , , , , , 
1643108926.341763, 1.800589, -10.185981, 1.118840, , , , , , 
1643108926.358420, 1.473930, -10.468796, 0.438438, , , , , , 
1643108926.375085, 1.253813, -10.415974, 0.249895, , , , , , 
1643108926.391777, 0.775272, -10.004621, -0.485724, , , , , , 
1643108926.408476, 0.153379, -8.807520, 1.429189, , , , , , 
1643108926.425030, -0.069881, -8.624812, 2.462736, , , , , , 
1643108926.441899, 0.720804, -9.183559, 2.258331, , , , , , 
1643108926.458350, 0.736067, -9.406369, 2.328660, , , , , , 
1643108926.475109, 0.694169, -9.238027, 1.715445, , , , , , 
1643108926.491750, 0.631620, -9.523236, 1.245434, , , , , , 
1643108926.508294, -0.078560, -9.435549, 1.182736, , , , , , 
1643108926.525033, -0.438438, -9.162460, 1.325340, , , , , , 
1643108926.541667, 0.178817, -9.766996, 1.745223, , , , , , 
1643108926.558353, 0.548272, -10.240300, 1.492485, , , , , , 
1643108926.575006, 0.562787, -9.660454, 0.889596, , , , , , 
1643108926.591759, 0.695216, -9.292046, 0.773177, , , , , , 
1643108926.608474, 0.998232, -9.511415, 1.087416, , , , , , 
1643108926.625176, 1.186028, -9.628881, 1.484405, , , , , , 
1643108926.641667, 1.020379, -10.089914, 1.732205, , , , , , 
1643108926.658347, 0.766893, -10.045472, 2.018312, , , , , , 
1643108926.675054, 0.828094, -9.499594, 1.106869, , , , , , 
1643108926.691702, 1.383400, -9.506477, 0.479439, , , , , , 
1643108926.708363, 1.205481, -9.744251, 0.963068, , , , , , 
1643108926.725065, 0.434697, -10.466701, 1.858050, , , , , , 
1643108926.741765, 0.683245, -10.212318, 1.925237, , , , , , 
1643108926.758350, 0.842759, -9.971551, 1.823783, , , , , , 
