SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1643109169.821169, 1.339406, -4.127903, -8.615385, , , , , , 
1643109169.837830, 1.210419, -4.091242, -8.603564, , , , , , 
1643109169.854442, 0.882114, -4.012532, -8.447941, , , , , , 
1643109169.870162, 0.811634, -4.045153, -8.534431, , , , , , 
1643109169.887754, 0.788141, -4.021960, -8.652495, , , , , , 
1643109169.904497, 0.907253, -4.088848, -8.952070, , , , , , 
1643109169.921084, 0.985663, -4.173243, -9.243564, , , , , , 
1643109169.937841, 0.986561, -4.146757, -9.495254, , , , , , 
1643109169.954424, 0.735768, -3.998466, -9.291597, , , , , , 
1643109169.971079, 0.606032, -4.124761, -9.596708, , , , , , 
1643109169.987770, 0.524779, -4.154838, -9.360730, , , , , , 
1643109170.004538, 0.792032, -4.077625, -9.434801, , , , , , 
1643109170.021157, 1.307533, -3.800197, -9.336040, , , , , , 
1643109170.037840, 1.709460, -3.612102, -9.383026, , , , , , 
1643109170.054421, 1.928081, -3.066224, -9.009231, , , , , , 
1643109170.071205, 1.781735, -2.685546, -9.624840, , , , , , 
1643109170.087755, 0.791284, -2.640954, -10.387094, , , , , , 
1643109170.104532, 1.935113, -3.026421, -10.219201, , , , , , 
1643109170.121087, 1.682824, -1.875408, -11.117026, , , , , , 
1643109170.137864, 1.932121, -0.951695, -10.426150, , , , , , 
1643109170.154405, 2.418443, -0.527473, -8.329428, , , , , , 
1643109170.171106, 1.981800, -1.346738, -9.911696, , , , , , 
1643109170.187742, 1.296460, -1.890821, -9.880721, , , , , , 
1643109170.204473, -1.004068, -2.543540, -11.853992, , , , , , 
1643109170.221103, -3.545064, -2.104354, -10.426150, , , , , , 
1643109170.237811, -3.487903, -2.832191, -7.657106, , , , , , 
1643109170.254428, -2.804658, -4.419996, -8.322993, , , , , , 
1643109170.271099, -4.215291, -4.793042, -7.004985, , , , , , 
1643109170.287087, -4.153042, -5.412991, -5.215020, , , , , , 
1643109170.303937, -3.381062, -6.663811, -4.806210, , , , , , 
1643109170.321200, -4.880281, -8.573187, -4.635324, , , , , , 
1643109170.337801, -4.922030, -9.246556, -3.888483, , , , , , 
1643109170.354405, -5.149628, -10.435876, -2.170194, , , , , , 
1643109170.371130, -5.309890, -11.059117, -1.651700, , , , , , 
1643109170.387741, -6.295853, -11.269358, -1.775450, , , , , , 
1643109170.404438, -7.110180, -12.298864, -0.543633, , , , , , 
1643109170.421108, -7.510461, -12.480824, 0.821660, , , , , , 
1643109170.437850, -7.434595, -13.285126, 2.728941, , , , , , 
1643109170.454413, -6.452822, -12.635699, 3.922002, , , , , , 
1643109170.471174, -6.112098, -11.764808, 4.275745, , , , , , 
1643109170.487751, -7.769035, -10.470742, 2.582296, , , , , , 
1643109170.504419, -7.637354, -10.806379, 0.544082, , , , , , 
1643109170.521118, -6.615030, -10.589853, 0.848445, , , , , , 
1643109170.537545, -5.956175, -8.746617, 1.572242, , , , , , 
1643109170.554411, -3.825635, -8.167220, 0.760159, , , , , , 
1643109170.571197, -2.685396, -7.419781, -0.010924, , , , , , 
1643109170.587745, 0.700304, -6.208464, 0.308852, , , , , , 
1643109170.603672, 1.609502, -5.708525, 0.670376, , , , , , 
1643109170.621156, 2.750938, -5.770774, 0.394744, , , , , , 
1643109170.637812, 3.025972, -5.337873, -1.266982, , , , , , 
1643109170.654411, 2.980033, -5.233276, -1.545756, , , , , , 
1643109170.671141, 2.403928, -5.319318, -1.215656, , , , , , 
1643109170.687745, 1.619827, -6.082020, -1.250521, , , , , , 
1643109170.704379, 0.877924, -8.137293, 1.404050, , , , , , 
1643109170.720361, 1.168370, -9.413402, 4.194492, , , , , , 
1643109170.737881, 0.950797, -11.207707, 7.305009, , , , , , 
1643109170.754408, -1.045817, -11.200075, 2.475305, , , , , , 
1643109170.770362, -1.168969, -11.073332, 0.243311, , , , , , 
1643109170.787332, -1.366042, -10.858602, -0.681599, , , , , , 
1643109170.804221, -0.203358, -12.036998, -5.928492, , , , , , 
1643109170.821084, -1.877952, -10.368240, -9.098714, , , , , , 
1643109170.837186, -1.026813, -9.028385, 9.369559, , , , , , 
1643109170.854493, 5.277569, -11.635820, 4.802170, , , , , , 
1643109170.871083, 5.434389, -11.046996, 0.924760, , , , , , 
1643109170.887824, 3.466355, -7.963564, -0.157419, , , , , , 
1643109170.904439, 2.987814, -7.513903, 0.250194, , , , , , 
1643109170.921088, 3.502867, -7.868843, -0.670975, , , , , , 
1643109170.937829, 1.827225, -7.566425, -1.454777, , , , , , 
1643109170.954489, 1.408688, -9.174581, -0.277877, , , , , , 
1643109170.971158, 1.303344, -10.179547, 0.080355, , , , , , 
1643109170.987828, 0.710180, -11.525088, 0.359280, , , , , , 
1643109171.004485, 0.271892, -11.097125, 0.750582, , , , , , 
1643109171.021120, 0.052074, -10.855310, 0.466720, , , , , , 
1643109171.037837, 1.557727, -9.371205, -0.509217, , , , , , 
1643109171.054839, 1.418714, -9.611822, -0.477643, , , , , , 
1643109171.071232, 1.764676, -10.041731, 0.425719, , , , , , 
1643109171.087762, 2.181417, -10.783185, 1.044470, , , , , , 
1643109171.104512, 1.814206, -10.760440, 1.451634, , , , , , 
1643109171.121298, 1.059285, -11.057471, 1.012448, , , , , , 
1643109171.137931, 0.720355, -11.505336, -0.263362, , , , , , 
1643109171.154702, -0.011223, -11.870003, -1.394024, , , , , , 
1643109171.171222, -0.170288, -12.288090, 0.080804, , , , , , 
1643109171.187880, -0.529717, -12.032360, -0.045939, , , , , , 
1643109171.205048, -0.982072, -11.626393, -0.265008, , , , , , 
1643109171.221198, -0.508618, -10.390835, -0.696563, , , , , , 
1643109171.237877, 0.186149, -9.439140, 0.245555, , , , , , 
1643109171.254455, 0.048483, -9.573814, 0.828843, , , , , , 
1643109171.271155, -1.557129, -10.404752, 0.263961, , , , , , 
1643109171.287991, -2.675670, -9.930700, -1.374272, , , , , , 
1643109171.304487, -3.283498, -9.813084, -2.276587, , , , , , 
1643109171.321307, -3.037194, -10.180594, -5.051317, , , , , , 
1643109171.337981, -3.067272, -8.135647, -2.089390, , , , , , 
1643109171.354658, -2.679561, -8.160786, -1.004667, , , , , , 
1643109171.371346, -1.157896, -9.315539, -0.747889, , , , , , 
1643109171.387765, -1.748515, -8.927679, -1.136049, , , , , , 
1643109171.404498, -1.389684, -8.865429, -1.319804, , , , , , 
1643109171.421252, -1.442955, -8.855254, -1.244087, , , , , , 
1643109171.437871, -2.247706, -9.234436, -0.910994, , , , , , 
1643109171.454510, -2.381931, -9.869947, -0.883161, , , , , , 
1643109171.471229, -2.446126, -10.188376, -3.726276, , , , , , 
1643109171.487761, -1.879598, -8.357559, 0.727089, , , , , , 
1643109171.504522, -1.250073, -8.787019, 3.776853, , , , , , 
1643109171.521167, -0.399682, -9.264663, 0.085892, , , , , , 
1643109171.537827, 0.184204, -8.686164, -0.049380, , , , , , 
1643109171.554502, -0.064943, -8.324041, 0.449511, , , , , , 
1643109171.571165, -1.510741, -7.431153, 0.960374, , , , , , 
1643109171.587827, -4.372411, -9.797672, -0.152780, , , , , , 
1643109171.604495, -3.985747, -9.955091, 0.513107, , , , , , 
1643109171.621182, -2.872144, -9.473856, 0.749684, , , , , , 
1643109171.637836, -2.599804, -8.886528, 0.832284, , , , , , 
1643109171.654457, -2.429666, -8.753201, 0.803105, , , , , , 
1643109171.671171, -1.792808, -9.243414, 0.670077, , , , , , 
1643109171.687894, -1.539172, -9.236830, 0.858172, , , , , , 
1643109171.704495, -0.779762, -9.868600, 0.563086, , , , , , 
1643109171.721285, -1.015142, -10.031256, 0.845752, , , , , , 
1643109171.737851, -1.187973, -9.831490, 0.853683, , , , , , 
1643109171.754451, -1.889474, -11.184363, 3.079392, , , , , , 
1643109171.771215, -0.390554, -9.008034, 0.921019, , , , , , 
1643109171.787798, 0.373495, -9.072378, 0.631770, , , , , , 
1643109171.804527, -0.215329, -10.105925, 1.101632, , , , , , 
1643109171.821191, -0.767042, -11.582399, 1.930026, , , , , , 
1643109171.837867, -1.328483, -11.565191, 1.791012, , , , , , 
1643109171.854528, -2.174983, -10.636839, 1.281945, , , , , , 
1643109171.871194, -2.333000, -9.689484, 0.877924, , , , , , 
1643109171.887863, -2.029984, -9.703550, 0.713622, , , , , , 
1643109171.904492, -1.687014, -11.361834, 0.109684, , , , , , 
1643109171.921196, -0.076465, -12.391640, 0.249745, , , , , , 
1643109171.937825, 0.559944, -11.980435, -0.411204, , , , , , 
1643109171.954506, 0.690428, -11.608586, -2.921525, , , , , , 
1643109171.971174, 1.117344, -12.049119, -2.630629, , , , , , 
1643109171.988016, 1.361253, -11.688493, -1.278204, , , , , , 
1643109172.004544, 2.039261, -10.470592, 0.660500, , , , , , 
1643109172.021218, 1.926135, -10.342502, -0.505925, , , , , , 
1643109172.037010, 2.075922, -10.043377, -1.283442, , , , , , 
1643109172.054501, 2.745102, -9.622296, -2.173486, , , , , , 
1643109172.071224, 2.975095, -9.684396, -1.591097, , , , , , 
1643109172.087946, 2.716222, -9.957335, -1.292570, , , , , , 
1643109172.104593, 1.718588, -10.263494, -0.820014, , , , , , 
1643109172.121264, 0.736516, -9.725696, -0.747290, , , , , , 
1643109172.137923, 0.303615, -9.515904, -0.859219, , , , , , 
1643109172.154574, -0.122852, -9.158719, -1.130662, , , , , , 
1643109172.171284, -0.068235, -8.707562, -1.009755, , , , , , 
1643109172.187863, 0.150535, -8.457517, -0.781856, , , , , , 
1643109172.204610, 0.585233, -7.890241, 0.041749, , , , , , 
1643109172.221336, 0.930596, -7.488165, 0.688632, , , , , , 
1643109172.237948, 1.142333, -7.479037, 0.623989, , , , , , 
1643109172.254623, 1.527351, -7.726388, 0.119710, , , , , , 
1643109172.271246, 1.416320, -8.437616, -0.147842, , , , , , 
1643109172.288141, 1.152509, -8.628254, -0.183905, , , , , , 
1643109172.304630, 0.722450, -8.609549, 0.072425, , , , , , 
1643109172.321330, 0.600645, -8.475773, 0.238672, , , , , , 
1643109172.337892, 0.692074, -8.478916, 0.220566, , , , , , 
1643109172.354589, 1.086668, -8.695890, 0.506374, , , , , , 
